event,severity,headline,description
Tsunami Warning,Extreme,TEST Tsunami Warning issued March 25 at 12:30PM EDT until March 25 at 1:30PM EDT by NWS National Tsunami Warning Center,"GMZ130-132-135-150-155-230-231-232-235>237-250-255-330-335-
350-355-430-432-435-436-450-452-455-532-534-536-538-550-552-
555-557-630>636-650-655-730-735-751-752-755-765-830-836-850-
853-856-656-657-031-032-034-035-042>044-052>055-AMZ630-650-
651-550-552-555-450-452-454-330-350-352-354-250-252-254-256-
131-135>137-150>156-158-230-231-ANZ631>638-656-658-650-652-
654-430-431-450>455-331-332-335-338-340-345-350>355-230>237-
250-251-254-255-256-150>154-050>052-TXZ251-351-354-355-451-
454-455-234-242>247-342>347-442-443-447-214-236>238-313-335>338-
436>439-615-616-LAZ073-074-241-252>254-066>070-076-078-MSZ086>088-
ALZ261>266-FLZ201>206-008-010-012-014-108-112>118-127-128-
134-139-142-148-149-050-151-155-160-162-165-069-075-076>078-
174-074-154-168-172-173-347-447-647-747-141-159-164-024-124-
125-138-233-333-GAZ153-154-165-166-117-119-139-141-SCZ048>052-
054-056-NCZ106-108-110-044>047-080-081-092>095-098-103-104-
193>199-203>205-015>017-030>032-102-VAZ084>096-098-523>525-
099-100-MDZ024-025-DEZ002>004-NJZ006-012>014-020>027-106-108-
NYZ071>075-078>081-176>179-CTZ009>012-RIZ002-004>008-MAZ007-
014>016-019>024-NHZ014-MEZ022>028-029-030-NBZ570-550-660-641-
NSZ210-230-260-250-110-120-130-170-160-150-140-270-280-320-
410-450-440-430-QCZ670-680-NLZ340-220-230-210-120-132-140-
241-242-110-131-540-530-570-520-510-560-610-720-710-730-740-
750-760-770-251730-
/T.NEW.PAAQ.TS.W.9005.250325T1630Z-250325T1730Z/
The U.S. east coast, Gulf of America coasts, and Eastern
Canadian coastal areas

...THIS_MESSAGE_IS_FOR_TEST_PURPOSES_ONLY...

...THIS IS A TEST TO DETERMINE TRANSMISSION TIMES INVOLVED IN THE
DISSEMINATION OF TSUNAMI INFORMATION...

...ESTO ES UNA PRUEBA PARA DETERMINAR LOS TIEMPOS DE TRANSMISION
ENVUELTOS EN LA DISEMINACION DE INFORMACION SOBRE TSUNAMIS...


RESPONSES ARE REQUIRED FROM
---------------------------
* All Coastal Weather Forecast Offices in the Eastern and
Southern Regions - respond using tsunami message
acknowledgment (TMA) procedures. Emergency alert systems and
NOAA Weather Radio are NOT to be activated.

* State and Territorial Warning Points in ME, NH, MA, CT -
RI, NY, NJ, DE, MD, PA, VA, NC, SC, GA, FL, AL -
MS, LA, and TX.

* Joint Typhoon Warning Center in Hawaii

* Atlantic Storm Prediction Center NS, Government of Canada
Operations Center, and Saint-Pierre et Miquelon.


RESPONSES SHOULD INCLUDE
------------------------
* Time-of-receipt
* Agency name
* Email address
* Phone number


Weather Service Offices should respond in accordance with local
directives. All others should reply by one of the available methods
below.


SEND RESPONSE BY
----------------
* Email address - ntwc@noaa.gov
* AFTN address  - PAAQYQYX
* AWIPS         - TMA
* Fax           - 907-745-6071

...THIS_MESSAGE_IS_FOR_TEST_PURPOSES_ONLY...

...THIS IS A TEST TO DETERMINE TRANSMISSION TIMES INVOLVED IN THE
DISSEMINATION OF TSUNAMI INFORMATION..."
Special Weather Statement,Moderate,Special Weather Statement issued March 25 at 3:51AM EDT by NWS Albany NY,"The combination of light winds and residual moisture will allow
for patchy fog, some of which could be locally dense. Improvement
will be slow from west to east this morning, but fog could linger
into the early part of the morning commute.

Motorists should use low beam headlights and remain alert for
rapidly changing visibilities. Allow extra time to reach your
destination."
Special Weather Statement,Moderate,Special Weather Statement issued March 25 at 1:39AM EDT by NWS Upton NY,"The combination of light winds and residual moisture will allow
for patchy fog, some of which could be locally dense. Improvement
will be slow from west to east overnight with the passage of a
weak cold front.

Motorists should use low beam headlights and remain alert for
rapidly changing visibilities. Allow extra time to reach your
destination."
Special Weather Statement,Moderate,Special Weather Statement issued March 24 at 11:42PM EDT by NWS Upton NY,"Patchy dense fog is being observed, with visibilities dropping as
low as 1/4 mile. Some improvement is expected after 2 AM.

Motorists should use low beam headlights and remain alert for
rapidly changing visibilities. Allow extra time to reach your
destination."
Special Weather Statement,Moderate,Special Weather Statement issued March 24 at 10:31PM EDT by NWS Upton NY,"Patchy dense fog is being observed, with visibilities dropping as
low as 1/4 mile. Some improvement is expected after 2 AM.

Motorists should use low beam headlights and remain alert for
rapidly changing visibilities. Allow extra time to reach your
destination."
Wind Advisory,Minor,The Wind Advisory has been cancelled.,The Wind Advisory has been cancelled and is no longer in effect.
Wind Advisory,Moderate,Wind Advisory issued March 24 at 1:53PM EDT until March 24 at 10:00PM EDT by NWS Buffalo NY,"* WHAT...Southwest winds 20 to 30 mph with gusts up to 50 mph.

* WHERE...Niagara, Orleans, Northern Erie, and Genesee Counties.

* WHEN...Until 10 PM EDT this evening. Strongest wind gusts expected
to be this afternoon.

* IMPACTS...Gusty winds will blow around unsecured objects. Tree
limbs could be blown down and a few isolated power outages may
result."
Winter Weather Advisory,Minor,The Winter Weather Advisory has been cancelled.,The Winter Weather Advisory has been cancelled and is no longer in effect.
Winter Weather Advisory,Minor,The Winter Weather Advisory has been cancelled.,The Winter Weather Advisory has been cancelled and is no longer in effect.
Winter Weather Advisory,Minor,The Winter Weather Advisory has been cancelled.,The Winter Weather Advisory has been cancelled and is no longer in effect.
