startTime,temperature,windSpeed,shortForecast
2025-03-25T16:00:00-04:00,54,15 mph,Sunny
2025-03-25T17:00:00-04:00,55,13 mph,Sunny
2025-03-25T18:00:00-04:00,55,10 mph,Mostly Clear
2025-03-25T19:00:00-04:00,53,8 mph,Mostly Clear
2025-03-25T20:00:00-04:00,52,7 mph,Partly Cloudy
2025-03-25T21:00:00-04:00,51,6 mph,Partly Cloudy
2025-03-25T22:00:00-04:00,51,5 mph,Mostly Cloudy
2025-03-25T23:00:00-04:00,50,6 mph,Mostly Cloudy
2025-03-26T00:00:00-04:00,49,6 mph,Mostly Cloudy
2025-03-26T01:00:00-04:00,48,6 mph,Mostly Cloudy
2025-03-26T02:00:00-04:00,47,6 mph,Mostly Cloudy
2025-03-26T03:00:00-04:00,45,6 mph,Mostly Cloudy
2025-03-26T04:00:00-04:00,44,6 mph,Mostly Cloudy
2025-03-26T05:00:00-04:00,43,6 mph,Partly Cloudy
2025-03-26T06:00:00-04:00,43,6 mph,Sunny
2025-03-26T07:00:00-04:00,42,5 mph,Sunny
2025-03-26T08:00:00-04:00,42,7 mph,Sunny
2025-03-26T09:00:00-04:00,42,10 mph,Sunny
2025-03-26T10:00:00-04:00,44,12 mph,Sunny
2025-03-26T11:00:00-04:00,45,12 mph,Isolated Rain Showers
2025-03-26T12:00:00-04:00,46,13 mph,Isolated Rain Showers
2025-03-26T13:00:00-04:00,46,14 mph,Isolated Rain Showers
2025-03-26T14:00:00-04:00,47,15 mph,Isolated Rain Showers
2025-03-26T15:00:00-04:00,47,16 mph,Isolated Rain Showers
2025-03-26T16:00:00-04:00,48,16 mph,Isolated Rain Showers
2025-03-26T17:00:00-04:00,47,17 mph,Isolated Rain Showers
2025-03-26T18:00:00-04:00,47,17 mph,Isolated Rain Showers
2025-03-26T19:00:00-04:00,46,17 mph,Isolated Rain Showers
2025-03-26T20:00:00-04:00,45,16 mph,Isolated Rain Showers
2025-03-26T21:00:00-04:00,44,15 mph,Isolated Rain Showers
2025-03-26T22:00:00-04:00,43,15 mph,Mostly Clear
2025-03-26T23:00:00-04:00,42,14 mph,Mostly Clear
2025-03-27T00:00:00-04:00,40,13 mph,Mostly Clear
2025-03-27T01:00:00-04:00,39,13 mph,Mostly Clear
2025-03-27T02:00:00-04:00,39,12 mph,Mostly Clear
2025-03-27T03:00:00-04:00,38,12 mph,Mostly Clear
2025-03-27T04:00:00-04:00,38,12 mph,Mostly Clear
2025-03-27T05:00:00-04:00,37,12 mph,Mostly Clear
2025-03-27T06:00:00-04:00,37,12 mph,Sunny
2025-03-27T07:00:00-04:00,37,13 mph,Sunny
2025-03-27T08:00:00-04:00,37,12 mph,Sunny
2025-03-27T09:00:00-04:00,38,12 mph,Sunny
2025-03-27T10:00:00-04:00,39,12 mph,Sunny
2025-03-27T11:00:00-04:00,41,12 mph,Sunny
2025-03-27T12:00:00-04:00,43,12 mph,Sunny
2025-03-27T13:00:00-04:00,44,12 mph,Sunny
2025-03-27T14:00:00-04:00,46,12 mph,Sunny
2025-03-27T15:00:00-04:00,47,12 mph,Sunny
2025-03-27T16:00:00-04:00,48,13 mph,Sunny
2025-03-27T17:00:00-04:00,49,13 mph,Sunny
2025-03-27T18:00:00-04:00,49,12 mph,Mostly Clear
2025-03-27T19:00:00-04:00,49,10 mph,Mostly Clear
2025-03-27T20:00:00-04:00,49,9 mph,Partly Cloudy
2025-03-27T21:00:00-04:00,48,9 mph,Partly Cloudy
2025-03-27T22:00:00-04:00,48,9 mph,Partly Cloudy
2025-03-27T23:00:00-04:00,47,9 mph,Partly Cloudy
2025-03-28T00:00:00-04:00,47,9 mph,Partly Cloudy
2025-03-28T01:00:00-04:00,46,9 mph,Partly Cloudy
2025-03-28T02:00:00-04:00,46,10 mph,Partly Cloudy
2025-03-28T03:00:00-04:00,46,9 mph,Partly Cloudy
2025-03-28T04:00:00-04:00,45,9 mph,Partly Cloudy
2025-03-28T05:00:00-04:00,45,9 mph,Partly Cloudy
2025-03-28T06:00:00-04:00,45,9 mph,Mostly Sunny
2025-03-28T07:00:00-04:00,45,9 mph,Mostly Sunny
2025-03-28T08:00:00-04:00,46,9 mph,Mostly Sunny
2025-03-28T09:00:00-04:00,48,9 mph,Mostly Sunny
2025-03-28T10:00:00-04:00,48,9 mph,Mostly Sunny
2025-03-28T11:00:00-04:00,49,9 mph,Mostly Sunny
2025-03-28T12:00:00-04:00,51,9 mph,Mostly Sunny
2025-03-28T13:00:00-04:00,53,10 mph,Mostly Sunny
2025-03-28T14:00:00-04:00,54,10 mph,Mostly Sunny
2025-03-28T15:00:00-04:00,55,10 mph,Mostly Sunny
2025-03-28T16:00:00-04:00,55,9 mph,Partly Sunny
2025-03-28T17:00:00-04:00,55,9 mph,Partly Sunny
2025-03-28T18:00:00-04:00,55,9 mph,Mostly Cloudy
2025-03-28T19:00:00-04:00,54,9 mph,Mostly Cloudy
2025-03-28T20:00:00-04:00,54,9 mph,Chance Rain Showers
2025-03-28T21:00:00-04:00,53,9 mph,Chance Rain Showers
2025-03-28T22:00:00-04:00,53,9 mph,Chance Rain Showers
2025-03-28T23:00:00-04:00,52,9 mph,Chance Rain Showers
2025-03-29T00:00:00-04:00,51,8 mph,Chance Rain Showers
2025-03-29T01:00:00-04:00,51,8 mph,Chance Rain Showers
2025-03-29T02:00:00-04:00,51,8 mph,Chance Rain Showers
2025-03-29T03:00:00-04:00,51,8 mph,Chance Rain Showers
2025-03-29T04:00:00-04:00,51,8 mph,Chance Rain Showers
2025-03-29T05:00:00-04:00,51,8 mph,Chance Rain Showers
2025-03-29T06:00:00-04:00,51,9 mph,Chance Rain Showers
2025-03-29T07:00:00-04:00,51,9 mph,Chance Rain Showers
