TimeStamp,AVALANCHE,BLIZZARD,COASTAL_FLOOD,COLD/WIND_CHILL,DEBRIS_FLOW,DENSE_FOG,DENSE_SMOKE,DROUGHT,DUST_DEVIL,DUST_STORM,EXCESSIVE_HEAT,ASTRONOMICAL_LOW_TIDE,EXTREME_COLD/WIND_CHILL,FLASH_FLOOD,FLOOD,FREEZING_FOG,FROST/FREEZE,FUNNEL_CLOUD,HAIL,HEAT,HEAVY_RAIN,HEAVY_SNOW,HIGH_SURF,HIGH_WIND,HURRICANE_(TYPHOON),ICE_STORM,LAKE-EFFECT_SNOW,LAKESHORE_FLOOD,LIGHTNING,MARINE_HAIL,MARINE_HIGH_WIND,MARINE_STRONG_WIND,MARINE_THUNDERSTORM_WIND,RIP_CURRENT,SEICHE,SLEET,SNEAKERWAVE,STORM_SURGE/TIDE,STRONG_WIND,THUNDERSTORM_WIND,TORNADO,TROPICAL_DEPRESSION,TROPICAL_STORM,TSUNAMI,VOLCANIC_ASH,WATERSPOUT,WILDFIRE,WINTER_STORM,WINTER_WEATHER,PRECIPITATION,precip_12m_mean,precip_12m_std,precip_12m_z,season_sin,season_cos
1996-01,0.0,82.0,16.0,43.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,121,229,0.0,0.0,0,1,4,0,207,0.0,191,0.0,5.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,31,0,0.0,0.0,0.0,0,0.0,0.0,42,0,5.639999999999999,,,,0.49999999999999994,0.8660254037844387
1996-02,0.0,0.0,0.0,34.0,0.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,22,0,0.0,0.0,0,1,0,0,127,0.0,78,0.0,0.0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0,13,0,5.639999999999999,,,,0.8660254037844386,0.5000000000000001
1996-03,0.0,0.0,10.0,13.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6,1,0.0,0.0,0,0,0,0,126,0.0,87,0.0,4.0,0.0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,21,0,0.0,0.0,0.0,0,0.0,0.0,61,3,3.8099999999999996,,,,1.0,6.123233995736766e-17
1996-04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,44,28,0.0,0.0,0,14,0,3,27,0.0,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,133,1,0.0,0.0,0.0,0,0.0,0.0,0,25,6.33,,,,0.8660254037844387,-0.49999999999999983
1996-05,0.0,0.0,0.0,16.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,26,26,0.0,0.0,2,23,30,1,19,0.0,0,0.0,0.0,0.0,0.0,6,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,137,2,0.0,0.0,0.0,0,0.0,0.0,0,21,2.64,,,,0.49999999999999994,-0.8660254037844387
1996-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,97,20,0.0,0.0,0,68,0,0,0,0.0,0,0.0,0.0,0.0,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1,201,7,0.0,0.0,0.0,0,0.0,0.0,0,0,5.709999999999999,,,,1.2246467991473532e-16,-1.0
1996-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,97,27,0.0,0.0,7,62,0,23,0,0.0,10,0.0,0.0,0.0,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0,0.0,2,138,21,0.0,9.0,0.0,0,1.0,0.0,0,0,5.76,,,,-0.5000000000000001,-0.8660254037844386
1996-08,0.0,0.0,3.0,0.0,0.0,0.0,0,3.0,1.0,0,0.0,0.0,0.0,34,0,0.0,0.0,2,30,0,20,0,4.0,0,0.0,0.0,0.0,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,96,1,0.0,0.0,0.0,0,2.0,0.0,0,0,1.87,,,,-0.8660254037844384,-0.5000000000000004
1996-09,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,58,0,0.0,0.0,3,11,0,26,0,0.0,3,0.0,0.0,0.0,0.0,2,0,0.0,0,0,0.0,0.0,0.0,0,0.0,5,35,5,0.0,0.0,0.0,0,0.0,0.0,0,0,4.97,,,,-1.0,-1.8369701987210297e-16
1996-10,0.0,0.0,19.0,25.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,68,16,0.0,0.0,0,0,0,51,0,0.0,47,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,25,14,0,0.0,0.0,0.0,0,0.0,0.0,0,0,7.52,,,,-0.8660254037844386,0.5000000000000001
1996-11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,40,33,0.0,0.0,0,0,0,20,54,0.0,20,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,37,10,0.0,0.0,0.0,0,0.0,0.0,2,20,2.87,,,,-0.5000000000000004,0.8660254037844384
1996-12,0.0,0.0,86.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,82,51,0.0,0.0,0,0,0,142,55,0.0,26,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,12,0,0.0,0.0,0.0,0,0.0,0.0,20,13,6.479999999999996,4.9366666666666665,1.7446767522085482,0.8845955741541563,-2.4492935982947064e-16,1.0
1997-01,0.0,0.0,4.0,75.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7,9,0.0,0.0,0,0,25,6,65,0.0,2,0.0,0.0,11.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,42,100,3.65,4.770833333333333,1.7661898298743295,-0.6346052470549467,0.49999999999999994,0.8660254037844387
1997-02,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,10,1,0.0,0.0,0,0,93,0,21,0.0,92,0.0,1.0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,17,0,0.0,0.0,0.0,0,0.0,0.0,35,44,2.5399999999999996,4.5125,1.8521247012798319,-1.06499308531277,0.8660254037844386,0.5000000000000001
1997-03,0.0,0.0,17.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,4.0,0.0,3,4,0.0,0.0,0,4,30,0,73,0.0,80,0.0,29.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,1.0,46,1,0,0.0,0.0,0.0,0,0.0,0.0,69,39,5.18,4.626666666666666,1.8471025631479907,0.2995682775678117,1.0,6.123233995736766e-17
1997-04,0.0,0.0,0.0,33.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,2,0.0,0.0,0,0,0,0,47,0.0,12,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,27,0,0,0.0,0.0,0.0,0,0.0,0.0,33,2,2.86,4.3374999999999995,1.8277165336213177,-0.8083857495519713,0.8660254037844387,-0.49999999999999983
1997-05,0.0,0.0,0.0,26.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,16,2,0.0,0.0,3,42,0,22,0,0.0,7,0.0,0.0,0.0,0.0,7,0,0.0,0,0,0.0,0.0,0.0,0,1.0,2,186,1,0.0,0.0,0.0,0,0.0,0.0,0,0,3.05,4.371666666666666,1.796667791083023,-0.7356210609586159,0.49999999999999994,-0.8660254037844387
1997-06,0.0,0.0,4.0,0.0,0.0,0.0,0,30.0,0.0,0,0.0,0.0,0.0,18,0,0.0,0.0,1,13,22,23,0,0.0,0,0.0,0.0,0.0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,0,0.0,4,52,1,0.0,0.0,0.0,0,0.0,0.0,0,0,3.05,4.1499999999999995,1.7805566034759512,-0.6177843478003515,1.2246467991473532e-16,-1.0
1997-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,24,3,0.0,0.0,2,52,32,29,0,0.0,0,0.0,0.0,0.0,0.0,23,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,253,10,0.0,0.0,0.0,0,0.0,2.0,0,0,8.36,4.366666666666666,2.120095766847823,1.8835627124856988,-0.5000000000000001,-0.8660254037844386
1997-08,0.0,0.0,7.0,0.0,0.0,0.0,0,8.0,0.0,0,0.0,0.0,0.0,12,0,0.0,0.0,1,38,24,13,0,0.0,1,0.0,0.0,0.0,0.0,18,0,1.0,0,0,0.0,0.0,0.0,0,0.0,1,175,6,0.0,0.0,0.0,0,1.0,0.0,0,0,3.2100000000000004,4.478333333333333,2.0090198122618412,-0.6313194750953639,-0.8660254037844384,-0.5000000000000004
