TimeStamp,AVALANCHE,BLIZZARD,COASTAL_FLOOD,COLD/WIND_CHILL,DEBRIS_FLOW,DENSE_FOG,DENSE_SMOKE,DROUGHT,DUST_DEVIL,DUST_STORM,EXCESSIVE_HEAT,ASTRONOMICAL_LOW_TIDE,EXTREME_COLD/WIND_CHILL,FLASH_FLOOD,FLOOD,FREEZING_FOG,FROST/FREEZE,FUNNEL_CLOUD,HAIL,HEAT,HEAVY_RAIN,HEAVY_SNOW,HIGH_SURF,HIGH_WIND,HURRICANE_(TYPHOON),ICE_STORM,LAKE-EFFECT_SNOW,LAKESHORE_FLOOD,LIGHTNING,MARINE_HAIL,MARINE_HIGH_WIND,MARINE_STRONG_WIND,MARINE_THUNDERSTORM_WIND,RIP_CURRENT,SEICHE,SLEET,SNEAKERWAVE,STORM_SURGE/TIDE,STRONG_WIND,THUNDERSTORM_WIND,TORNADO,TROPICAL_DEPRESSION,TROPICAL_STORM,TSUNAMI,VOLCANIC_ASH,WATERSPOUT,WILDFIRE,WINTER_STORM,WINTER_WEATHER,PRECIPITATION
1996-01,0.0,82.0,16.0,43.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,121,229,0.0,0.0,0,1,4,0,207,0.0,191,0.0,5.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,31,0,0.0,0.0,0.0,0,0.0,0.0,42,0,0.5639999999999998
1996-02,0.0,0.0,0.0,34.0,0.0,3.0,0,0.0,0.0,0,0.0,0.0,0.0,22,0,0.0,0.0,0,1,0,0,127,0.0,78,0.0,0.0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0,13,0,0.259
1996-03,0.0,0.0,10.0,13.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,6,1,0.0,0.0,0,0,0,0,126,0.0,87,0.0,4.0,0.0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,21,0,0.0,0.0,0.0,0,0.0,0.0,61,3,0.38099999999999995
1996-04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,44,28,0.0,0.0,0,14,0,3,27,0.0,5,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,133,1,0.0,0.0,0.0,0,0.0,0.0,0,25,0.633
1996-05,0.0,0.0,0.0,16.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,26,26,0.0,0.0,2,23,30,1,19,0.0,0,0.0,0.0,0.0,0.0,6,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,137,2,0.0,0.0,0.0,0,0.0,0.0,0,21,0.264
1996-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,97,20,0.0,0.0,0,68,0,0,0,0.0,0,0.0,0.0,0.0,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1,201,7,0.0,0.0,0.0,0,0.0,0.0,0,0,0.571
1996-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,97,27,0.0,0.0,7,62,0,23,0,0.0,10,0.0,0.0,0.0,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0,0.0,2,138,21,0.0,9.0,0.0,0,1.0,0.0,0,0,0.576
1996-08,0.0,0.0,3.0,0.0,0.0,0.0,0,3.0,1.0,0,0.0,0.0,0.0,34,0,0.0,0.0,2,30,0,20,0,4.0,0,0.0,0.0,0.0,0.0,15,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,96,1,0.0,0.0,0.0,0,2.0,0.0,0,0,0.187
1996-09,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,58,0,0.0,0.0,3,11,0,26,0,0.0,3,0.0,0.0,0.0,0.0,2,0,0.0,0,0,0.0,0.0,0.0,0,0.0,5,35,5,0.0,0.0,0.0,0,0.0,0.0,0,0,0.497
1996-10,0.0,0.0,19.0,25.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,68,16,0.0,0.0,0,0,0,51,0,0.0,47,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,25,14,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.752
1996-11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,40,33,0.0,0.0,0,0,0,20,54,0.0,20,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,37,10,0.0,0.0,0.0,0,0.0,0.0,2,20,0.752
1996-12,0.0,0.0,86.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,82,51,0.0,0.0,0,0,0,142,55,0.0,26,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,12,0,0.0,0.0,0.0,0,0.0,0.0,20,13,0.6479999999999996
1997-01,0.0,0.0,4.0,75.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7,9,0.0,0.0,0,0,25,6,65,0.0,2,0.0,0.0,11.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,42,100,0.365
1997-02,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,10,1,0.0,0.0,0,0,93,0,21,0.0,92,0.0,1.0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,17,0,0.0,0.0,0.0,0,0.0,0.0,35,44,0.25399999999999995
