market_ticker,timestamp,open,high,low,close,volume,open_interest,label
KXHIGHNY-25APR18-T69,2025-04-18 04:00:00,0.09,0.15,0.09,0.12,1454,1302,0
KXHIGHNY-25APR18-T69,2025-04-19 04:00:00,0.12,0.54,0.01,0.01,8819,4241,0
KXHIGHNY-25APR18-T62,2025-04-18 04:00:00,0.02,0.02,0.02,0.02,5,5,0
KXHIGHNY-25APR18-T62,2025-04-19 04:00:00,0.02,0.02,0.01,0.01,13,13,0
KXHIGHNY-25APR18-B68.5,2025-04-18 04:00:00,0.12,0.28,0.02,0.25,2971,2095,0
KXHIGHNY-25APR18-B68.5,2025-04-19 04:00:00,0.27,0.99,0.2,0.99,10283,6665,1
KXHIGHNY-25APR18-B66.5,2025-04-18 04:00:00,0.33,0.43,0.33,0.4,583,474,0
KXHIGHNY-25APR18-B66.5,2025-04-19 04:00:00,0.37,0.6,0.01,0.01,7731,5253,0
KXHIGHNY-25APR18-B64.5,2025-04-18 04:00:00,0.31,0.35,0.22,0.3,1324,570,0
KXHIGHNY-25APR18-B64.5,2025-04-19 04:00:00,0.29,0.35,0.01,0.01,8311,4234,0
KXHIGHNY-25APR18-B62.5,2025-04-18 04:00:00,0.1,0.6,0.01,0.04,3319,710,0
KXHIGHNY-25APR18-B62.5,2025-04-19 04:00:00,0.01,0.06,0.01,0.01,633,794,0
KXHIGHNY-25APR17-T67,2025-04-17 04:00:00,0.02,0.04,0.02,0.04,105,105,0
KXHIGHNY-25APR17-T67,2025-04-18 04:00:00,0.03,0.06,0.01,0.01,2621,2228,0
KXHIGHNY-25APR17-B66.5,2025-04-17 04:00:00,0.09,0.11,0.02,0.11,1110,1109,0
KXHIGHNY-25APR17-B66.5,2025-04-18 04:00:00,0.1,0.22,0.01,0.01,6022,5079,0
KXHIGHNY-25APR17-B64.5,2025-04-17 04:00:00,0.26,0.26,0.17,0.24,1190,1171,0
KXHIGHNY-25APR17-B64.5,2025-04-18 04:00:00,0.24,0.99,0.02,0.99,33386,12769,1
KXHIGHNY-25APR17-B62.5,2025-04-17 04:00:00,0.46,0.46,0.35,0.41,1176,921,0
KXHIGHNY-25APR17-B62.5,2025-04-18 04:00:00,0.41,0.96,0.01,0.01,17138,13893,0
KXHIGHNY-25APR17-T60,2025-04-17 04:00:00,0.1,0.12,0.03,0.12,1148,771,0
KXHIGHNY-25APR17-T60,2025-04-18 04:00:00,0.07,0.11,0.01,0.01,3668,2607,0
KXHIGHNY-25APR17-B60.5,2025-04-17 04:00:00,0.23,0.35,0.23,0.32,763,495,0
KXHIGHNY-25APR17-B60.5,2025-04-18 04:00:00,0.31,0.72,0.01,0.01,18548,9218,0
KXHIGHNY-25APR16-T56,2025-04-16 04:00:00,0.06,0.06,0.02,0.03,315,315,0
KXHIGHNY-25APR16-T56,2025-04-17 04:00:00,0.04,0.04,0.01,0.01,719,1023,0
KXHIGHNY-25APR16-T49,2025-04-16 04:00:00,0.04,0.05,0.02,0.02,562,362,0
KXHIGHNY-25APR16-T49,2025-04-17 04:00:00,0.03,0.06,0.01,0.01,3676,2640,0
KXHIGHNY-25APR16-B55.5,2025-04-16 04:00:00,0.12,0.16,0.09,0.09,323,303,0
KXHIGHNY-25APR16-B55.5,2025-04-17 04:00:00,0.05,0.15,0.01,0.01,570,624,0
KXHIGHNY-25APR16-B53.5,2025-04-16 04:00:00,0.4,0.42,0.28,0.34,1096,556,0
KXHIGHNY-25APR16-B53.5,2025-04-17 04:00:00,0.33,0.47,0.01,0.02,12011,5891,0
KXHIGHNY-25APR16-B51.5,2025-04-16 04:00:00,0.33,0.68,0.31,0.45,2873,2412,0
KXHIGHNY-25APR16-B51.5,2025-04-17 04:00:00,0.45,0.96,0.01,0.01,17413,9110,0
KXHIGHNY-25APR16-B49.5,2025-04-16 04:00:00,0.12,0.18,0.1,0.18,981,950,0
KXHIGHNY-25APR16-B49.5,2025-04-17 04:00:00,0.15,0.99,0.04,0.99,23777,8292,1
KXHIGHNY-25APR15-T69,2025-04-15 04:00:00,0.07,0.1,0.03,0.09,1651,1643,0
KXHIGHNY-25APR15-T69,2025-04-16 04:00:00,0.05,0.73,0.01,0.01,13971,10157,0
KXHIGHNY-25APR15-T62,2025-04-15 04:00:00,0.01,0.02,0.01,0.01,201,201,0
KXHIGHNY-25APR15-T62,2025-04-16 04:00:00,0.04,0.04,0.02,0.02,11,211,0
KXHIGHNY-25APR15-B68.5,2025-04-15 04:00:00,0.16,0.27,0.14,0.21,1960,1624,0
KXHIGHNY-25APR15-B68.5,2025-04-16 04:00:00,0.2,0.99,0.1,0.99,16288,7896,1
KXHIGHNY-25APR15-B66.5,2025-04-15 04:00:00,0.36,0.49,0.36,0.44,2700,2292,0
KXHIGHNY-25APR15-B66.5,2025-04-16 04:00:00,0.45,0.86,0.01,0.01,11051,9516,0
KXHIGHNY-25APR15-B64.5,2025-04-15 04:00:00,0.46,0.46,0.21,0.3,1712,1183,0
KXHIGHNY-25APR15-B64.5,2025-04-16 04:00:00,0.31,0.37,0.01,0.01,4043,3977,0
KXHIGHNY-25APR15-B62.5,2025-04-15 04:00:00,0.13,0.13,0.01,0.04,627,246,0
KXHIGHNY-25APR15-B62.5,2025-04-16 04:00:00,0.03,0.05,0.01,0.01,708,927,0
KXHIGHNY-25APR14-T68,2025-04-14 04:00:00,0.08,0.08,0.02,0.02,33,33,0
KXHIGHNY-25APR14-T68,2025-04-15 04:00:00,0.03,0.04,0.01,0.02,2535,2557,0
KXHIGHNY-25APR14-T61,2025-04-14 04:00:00,0.04,0.09,0.02,0.09,1308,1303,0
KXHIGHNY-25APR14-T61,2025-04-15 04:00:00,0.03,0.08,0.01,0.05,1218,1747,0
KXHIGHNY-25APR14-B67.5,2025-04-14 04:00:00,0.13,0.26,0.12,0.12,494,334,0
KXHIGHNY-25APR14-B67.5,2025-04-15 04:00:00,0.12,0.37,0.01,0.01,16762,7165,0
KXHIGHNY-25APR14-B65.5,2025-04-14 04:00:00,0.34,0.59,0.34,0.51,2063,1740,0
KXHIGHNY-25APR14-B65.5,2025-04-15 04:00:00,0.51,0.99,0.01,0.99,21312,8441,1
KXHIGHNY-25APR14-B63.5,2025-04-14 04:00:00,0.46,0.46,0.22,0.25,1274,743,0
KXHIGHNY-25APR14-B63.5,2025-04-15 04:00:00,0.27,0.86,0.01,0.01,30247,26695,0
